X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-51.2519,-20.59559999937802,1463,MOIN02600,SP,CETESB,Ribeirão do Moinho,1,6,0.048,0.033,0.088,0.023,-20.5956,-51.2519
-46.3808,-23.853099999301485,1464,MOJI02800,SP,CETESB,Rio Moji,1,6,2.628,0.93,3.48,0.878,-23.8531,-46.3808
-46.9719,-22.394399999334716,1465,MOMI03800,SP,CETESB,Rio Mogi Mirim,1,6,0.717,0.2,2,0.7,-22.3944,-46.9719
-47.9575,-22.033329999343174,1466,MONJ04400,SP,CETESB,Informação não disponível,1,6,0.548,0.12,2.06,0.75,-22.03333,-47.9575
-55.291,-15.806599999504876,1467,MOR007,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-15.8066,-55.291
-55.29939,-15.671139999508661,1468,MOR023,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-15.67114,-55.29939
-55.22661,-15.504939999513335,1469,MOR093,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-15.50494,-55.22661
-50.96306,-12.291669999607008,1470,MOR1094,MT,SEMA,Rio das Mortes,1,2,0.05,0.05,0.05,0,-12.29167,-50.96306
-54.17567,-15.313529999518801,1471,MOR288,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-15.31353,-54.17567
-53.05528,-15.24860999952061,1472,MOR495,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-15.24861,-53.05528
-52.3585,-14.671689999537115,1473,MOR631,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-14.67169,-52.3585
-51.69639,-14.086669999554024,1474,MOR778,MT,SEMA,Rio das Mortes,1,3,0.05,0.05,0.05,0,-14.08667,-51.69639
-46.8569,-23.596899999307205,1475,MOVE03500,SP,CETESB,Ribeirão Moinho Velho,1,6,0.627,0.36,0.92,0.23,-23.5969,-46.8569
-39.88778,-9.58099999968992,1476,MRRCRC500,BA,INEMA,Curaçá,1,3,0.073,0.02,0.12,0.05,-9.581,-39.88778
